the_geom,apn,name,Address,LandmarkNo,YearDesignated,DesignationDocument,Photo,PIMLink
"MULTIPOLYGON (((-122.44879069043793 37.770248911458225, -122.44915363253403 37.77020262874845, -122.44916737057758 37.770270416047026, -122.44880442848148 37.7703166987568, -122.44879069043793 37.770248911458225)))",,Society For Individual Rights,529 CLAYTON ST,0,0,,,
"MULTIPOLYGON (((-122.40922556650662 37.780718194589156, -122.40942125268856 37.78087359474074, -122.40910211027409 37.781125204364855, -122.40890642499141 37.780969803313894, -122.40922556650662 37.780718194589156)))",,Delta House / Bayanihan House,88 06TH ST,0,0,,,
"MULTIPOLYGON (((-122.4102316200931 37.75211211648116, -122.41036958868546 37.75210390207354, -122.41080073896285 37.752078234523026, -122.41082424544248 37.75232470002504, -122.41065178425237 37.75233496758483, -122.41057245235669 37.752339690824215, -122.41047932396151 37.7523452342453, -122.41039309336645 37.75235036757556, -122.41040562991577 37.752481815183785, -122.41041971779566 37.75262954681625, -122.41035073889537 37.7526337133753, -122.4103241090703 37.75235447567866, -122.41022063217633 37.75236063513535, -122.4102062682046 37.7522100166791, -122.41024076080237 37.752207963526814, -122.4102316200931 37.75211211648116)))",,Saint Peters Catholic Church,1237 ALABAMA ST,0,0,,,
"MULTIPOLYGON (((-122.4127490976926 37.77942628609435, -122.41315223049094 37.77974641146784, -122.41302966458727 37.77984332690818, -122.4126267755052 37.779523394888884, -122.4127490976926 37.77942628609435)))",,Strand Theater,1127 MARKET ST,0,0,,,
"MULTIPOLYGON (((-122.47723233380509 37.77065227538236, -122.47690154247209 37.77063874778014, -122.47690742134034 37.77054816986231, -122.47723821267329 37.77056169746453, -122.47723233380509 37.77065227538236)))",,Stow Lake Boathouse,,0,0,,,
"MULTIPOLYGON (((-122.39292701367066 37.78676533315377, -122.3925906123668 37.786498270478944, -122.3929346875857 37.786226262432194, -122.39343725842264 37.78662845723767, -122.39309521387293 37.78689886359183, -122.39292701367066 37.78676533315377)))",,Sailor's Union Hall of the Pacific,450 HARRISON ST,0,0,,,
"MULTIPOLYGON (((-122.38994311168517 37.7766061443582, -122.39017915584327 37.776485895108124, -122.39061897918248 37.777029276280246, -122.390382934125 37.77714952732896, -122.38994311168517 37.7766061443582)))",,Third Street Bridge,Third Street over Mission Channel at China Basin,194,1989,https://sfplanninggis.org/docs/landmarks_and_districts/LM194.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/194.jpg,https://sfplanninggis.org/pim
"MULTIPOLYGON (((-122.45508359842921 37.78101048684465, -122.45514243387612 37.78129718082039, -122.4547036366634 37.78135435521949, -122.45464531652806 37.78106779884001, -122.45463152272652 37.781000018735995, -122.45462462582572 37.78096612958336, -122.454638282031 37.780964342630455, -122.45470998138046 37.78095496719811, -122.45471687738188 37.78098885814944, -122.45473067298207 37.781056637354084, -122.45508359842921 37.78101048684465)))",,Site of Mel's Diner Sit Ins,3355 GEARY BL,0,0,,,
"MULTIPOLYGON (((-122.40502326031515 37.79072733060195, -122.40511722418046 37.79071535163234, -122.40519368094351 37.79108653691429, -122.40514700612931 37.79109248682897, -122.40509971617888 37.79109851678328, -122.40502326031515 37.79072733060195)))",0270041,Fire Station 2,460 Bush Street,143,1981,https://sfplanninggis.org/docs/landmarks_and_districts/LM143.pdf,https://sfplanninggis.org/Preservation/Landmarks/Large/143.jpg,https://sfplanninggis.org/pim?search=0270/041
"MULTIPOLYGON (((-122.44790494815476 37.72674788210924, -122.44790416484523 37.72665176166959, -122.44597361449064 37.726657484955126, -122.44674310231221 37.72588395827819, -122.44705399434628 37.7255774090703, -122.4481378410884 37.72405242507949, -122.44825075097128 37.72372503228456, -122.44826222542127 37.72369455965634, -122.44826852337354 37.72367928916799, -122.4482751576723 37.72366410951122, -122.44828212382089 37.72364902338387, -122.44828942002061 37.72363403618198, -122.44829704627159 37.723619153301456, -122.44830499717779 37.72360437654089, -122.44831327094062 37.72358971309495, -122.44832186576139 37.7235751683595, -122.44833077894219 37.72356074323386, -122.44834000778502 37.72354644221468, -122.44834954869265 37.72353227339585, -122.44835940076564 37.72351823947531, -122.44836955950746 37.723504343151035, -122.44838002132082 37.72349059071831, -122.44839078350776 37.723476983975786, -122.4484018442696 37.723463529218634, -122.44841319821046 37.72345023094357, -122.44842484263228 37.72343709094912, -122.4484367748372 37.723424114631314, -122.44844898852989 37.72341130468811, -122.44846148281107 37.72339866831402, -122.44847425318414 37.723386204609824, -122.44848729425314 37.72337392076997, -122.44850060511874 37.72336181949254, -122.44851417858638 37.72334990527406, -122.44852801105878 37.72333817991324, -122.44854210073726 37.72332664970526, -122.44855644132662 37.72331531554954, -122.4485710283302 37.72330418104326, -122.44858585725143 37.72329325158245, -122.44860092449295 37.72328252896568, -122.44861622555828 37.723272016790304, -122.44863175505134 37.72326171865353, -122.44864750667699 37.7232516381527, -122.44866347953587 37.723241776187194, -122.44867966643335 37.72323213725349, -122.44869606197358 37.723222724049606, -122.44871266076058 37.7232135410722, -122.44872946099571 37.723204588321266, -122.44874645368577 37.72319587029335, -122.44876363613281 37.723187389686416, -122.44878100294085 37.72317914739989, -122.44879854781465 37.72317114703094, -122.44881626445897 37.72316339127764, -122.44883414927648 37.72315588283789, -122.44885219777063 37.723148623510326, -122.4488704018475 37.723141615093596, -122.44888875701042 37.72313485938639, -122.44890725876292 37.72312835998599, -122.44892589901093 37.72312211869098, -122.44894467595594 37.72311613730005, -122.448963578806 37.72311041491389, -122.44914989764959 37.7230642554112, -122.4511913685867 37.72306746149428, -122.45125170770007 37.723067973208515, -122.45131202792766 37.723069322191634, -122.45137230948438 37.723071507544205, -122.45143253258522 37.72307452746759, -122.4514926819416 37.72307838106258, -122.45155273596987 37.72308307012776, -122.45161267938158 37.72308858926715, -122.45171044827845 37.72309940631271, -122.45197442268136 37.72313167218908, -122.45197961446752 37.723132936635864, -122.45198477927403 37.72313427302845, -122.45198991170497 37.72313568046741, -122.45199501445825 37.72313715895285, -122.45200008303732 37.7231387093841, -122.45200511654281 37.723140328163765, -122.45201011407539 37.72314201709054, -122.45201507473581 37.72314377526516, -122.45201999492673 37.723145602687566, -122.45202487464815 37.723147495760486, -122.45202971030278 37.723149458081195, -122.45203450278996 37.72315148605236, -122.45203925210973 37.72315357967409, -122.45204395286606 37.72315574074497, -122.45204860595828 37.723157964768404, -122.45205320958786 37.72316025534167, -122.45205776195604 37.72316260706879, -122.45206226126425 37.723165021748514, -122.45206670751247 37.723167499380736, -122.45207109890202 37.72317003906619, -122.45207543363426 37.7231726372076, -122.45207971080993 37.72317529650286, -122.452083927731 37.723178014254074, -122.45208808619611 37.72318078956192, -122.45209218170874 37.723183622426404, -122.45209621516813 37.723186511948086, -122.45210018297695 37.7231894563285, -122.45210408783328 37.72319245466821, -122.45210792434114 37.723195508765855, -122.45211169339984 37.72319861502422, -122.4521153950094 37.7232017716446, -122.45211902467315 37.723204980425635, -122.4521225841898 37.72320823777011, -122.45212607176069 37.7232115454766, -122.45212948648651 37.723214899947834, -122.45213282656857 37.723218302083126, -122.45213609200692 37.7232217482852, -122.45213928010361 37.72322524125201, -122.45214239175789 37.72322877648702, -122.4521454242718 37.72323235578875, -122.45214837854473 37.72323597555999, -122.45215125277798 37.723239635800724, -122.4521540469716 37.723243334712265, -122.45215675752826 37.72324707229467, -122.45215938714591 37.72325084764867, -122.45216193222728 37.723254658076144, -122.45216439457107 37.7232585035772, -122.45216677147926 37.7232623823532, -122.45216906295178 37.723266293504764, -122.45217126719012 37.723270236132635, -122.45217338419423 37.72327420843811, -122.4521754148634 37.72327820952188, -122.45217735829834 37.72328223848467, -122.45217921090176 37.72328629442711, -122.4521809744723 37.723290373751865, -122.45218264900996 37.723294477358365, -122.45218423271609 37.723298603447915, -122.45218572469133 37.723302752020516, -122.45218712583511 37.72330691947889, -122.45218843524799 37.72331110672235, -122.45218965203071 37.723315310153566, -122.45219077708259 37.72331952977265, -122.45219180950431 37.72332376647881, -122.45219274839656 37.72332801487613, -122.45219359375926 37.7233322767633, -122.45219434469317 37.723336549442365, -122.45219500119828 37.723340831114626, -122.45219556597249 37.723345121780085, -122.45219603361994 37.72334941964016, -122.45219640863723 37.72335372289615, -122.45219668742709 37.72335803064874, -122.45219695902233 37.72336625404955, -122.45224602243587 37.72745797870289, -122.45225241841428 37.72795797118357, -122.45225242830685 37.72796300289042, -122.45225232668344 37.72796803549659, -122.45225211534273 37.727973066304116, -122.45225179158683 37.727978093514366, -122.4522513590129 37.72798311442932, -122.45225081672174 37.7279881272504, -122.4522501629146 37.72799313377624, -122.45224939849084 37.72799813130888, -122.4522485270478 37.72800311535161, -122.45224754408878 37.728008087703245, -122.45224645231184 37.72801304476633, -122.45224525261625 37.728017986540976, -122.45224394410263 37.72802291122849, -122.45224252767042 37.728027815231655, -122.45224100331956 37.72803270214763, -122.45223937284868 37.728037564781914, -122.45223763445915 37.728042404933205, -122.45223579084899 37.72804722080275, -122.45223384111875 37.72805200879333, -122.4522317870672 37.728056769804255, -122.45222962779502 37.72806150203684, -122.45222736510073 37.72806620369249, -122.45222499988375 37.72807087207326, -122.45222253214405 37.728075508078405, -122.4522199636803 37.728080107211326, -122.45221729449247 37.72808467306936, -122.45221452458054 37.728089199357214, -122.45221165574321 37.728093686974205, -122.45220868887981 37.72809813412175, -122.45220562488959 37.72810253990042, -122.45220246467193 37.728106901612364, -122.45219920822677 37.72811121925753, -122.45219585825214 37.728115491936535, -122.45219241474803 37.72811971605222, -122.45218887861375 37.72812389250379, -122.45218525164796 37.72812802039198, -122.45218153474991 37.72813209522019, -122.45217772791972 37.728136119686326, -122.4521738347546 37.728140090193165, -122.45216985435519 37.72814400584133, -122.45216578762091 37.72814786573156, -122.45216163724967 37.72815166896447, -122.45215740414079 37.72815541374149, -122.45215308919364 37.728159100062555, -122.45214869420676 37.72816272522971, -122.4521442191803 37.728166289243006, -122.45213966771138 37.72816979030375, -122.45213503890085 37.72817322841189, -122.45213033634587 37.728176600869574, -122.45212556094577 37.72817990857607, -122.45212071180134 37.72818314973273, -122.45211579250974 37.7281863216416, -122.452110805769 37.728189427000586, -122.45210575067978 37.7281924613132, -122.45210062994005 37.728195424579326, -122.45209544444913 37.72819831769834, -122.45209019510634 37.72820113797229, -122.45208488640827 37.728203885401115, -122.45207951745567 37.728206559085606, -122.45207409004712 37.72820915632764, -122.45206860777995 37.728211678926016, -122.4520630706541 37.72821412598125, -122.45205747956891 37.72821649479556, -122.45205183722243 37.728218787167464, -122.45204614541319 37.728220998600364, -122.45204040683922 37.72822313269154, -122.4520346215005 37.728225185843826, -122.452028792095 37.72822715985569, -122.45202292132069 37.72822905112997, -122.45201700827823 37.72823086056593, -122.45201105656491 37.72823259086152, -122.45200506797943 37.72823423572157, -122.45199904432036 37.72823579784392, -122.45199298738635 37.72823727632937, -122.45198689897609 37.72823867027853, -122.4519807799889 37.728239979691466, -122.45197463492138 37.728241203668745, -122.45196846287416 37.7282423431098, -122.45196226564593 37.72824339621593, -122.45195604773335 37.72824436478578, -122.4519498091363 37.72824524432269, -122.45194355165347 37.72824603932338, -122.45193727798289 37.72824674708983, -122.45193098902382 37.72824736762209, -122.4519246883736 37.72824790002073, -122.45191837693147 37.728248346983776, -122.4519120564961 37.72824870581326, -122.45190572886622 37.72824897560986, -122.45189939673969 37.728249157272955, -122.45189167605992 37.72824926249359, -122.44867740643707 37.72826541791483, -122.44860643104187 37.728265082467715, -122.44853547453243 37.72826376496096, -122.44846455759318 37.7282614635958, -122.44839370270711 37.72825817837236, -122.44832292876004 37.72825391198859, -122.44825226093297 37.728248665343756, -122.44812550418857 37.72823676821241, -122.44802132312549 37.728226406223826, -122.44791692982238 37.72821748854642, -122.44791404479724 37.72786349830193, -122.44791152489688 37.727554538910965, -122.44790995827788 37.72736229713246, -122.44790746985376 37.72705711759204, -122.44790494815476 37.72674788210924)))",,"""Pan American Unity"" Mural at City College",50 FRIDA KAHLO WY,0,0,,,
"MULTIPOLYGON (((-122.40385204353692 37.75645084892767, -122.40366994880901 37.754535855045845, -122.40629273791944 37.7543774790376, -122.4065179749245 37.75675374958604, -122.40417184425513 37.756895053763856, -122.40416743487913 37.75689401144962, -122.40416304798617 37.756892909780106, -122.40415868627429 37.756891747856, -122.40415435244131 37.75689052477804, -122.40415004468872 37.75688924234481, -122.40414576571442 37.75688789965699, -122.4041415173171 37.75688649851327, -122.40413730039603 37.75688503891354, -122.40413311495121 37.75688352085797, -122.40412896547929 37.75688194524571, -122.40412485018157 37.75688031297619, -122.40412077085682 37.7568786231501, -122.40411673110219 37.756876876666695, -122.40411272911905 37.756875075324615, -122.40410876760546 37.75687321732528, -122.40410484746064 37.75687130626591, -122.40410096958396 37.75686934124724, -122.40409713667344 37.75686732136995, -122.40409334693032 37.75686525023127, -122.40408960485126 37.75686312603261, -122.404085909537 37.75686094967324, -122.4040822618868 37.75685872475049, -122.40407866459861 37.756856448566396, -122.40407511767245 37.756854122020286, -122.40407162380632 37.75685174691074, -122.40406817940288 37.756849323237816, -122.40406479165671 37.75684685280015, -122.40406145697057 37.75684433559775, -122.40405817894174 37.756841774328564, -122.40405495846949 37.75683916539532, -122.40405179375517 37.756836514193935, -122.40404869019483 37.75683381892577, -122.4040456459897 37.756831080490144, -122.40404266024046 37.7568283006857, -122.40403973834316 37.75682548041175, -122.40403687759971 37.75682261876898, -122.40403408070819 37.756819718455404, -122.40403134766848 37.756816780370286, -122.40402868027928 37.756813806312266, -122.4040260785406 37.756810793583384, -122.40402354335174 37.756807745780975, -122.40402107471272 37.75680466380436, -122.40401867442222 37.756801546754104, -122.40401634427877 37.75679839732834, -122.40401408338317 37.75679521732559, -122.40401189173531 37.756792005846535, -122.40400977113393 37.75678876468987, -122.4040077224783 37.75678549475492, -122.40400574666779 37.756782195142364, -122.40400384280304 37.75677887034874, -122.40400201268267 37.756775520374106, -122.40400025630669 37.75677214341982, -122.40399857457447 37.75676874218385, -122.40399696748597 37.75676532116279, -122.40399543594054 37.756761877658676, -122.40399398173679 37.75675841257083, -122.40399223165605 37.75675395373213, -122.40385204353692 37.75645084892767)))",,SF General Hospital,1001 POTRERO AV,0,0,,,
"MULTIPOLYGON (((-122.40398991500246 37.79586373472375, -122.40358468768312 37.7955830832928, -122.40395874989628 37.79553342093078, -122.40402041281169 37.79583600592707, -122.40398991500246 37.79586373472375)))",0195004,Drexler/Colombo Building,1-33 Columbus Avenue,237,2002,https://sfplanninggis.org/docs/landmarks_and_districts/LM237.pdf,,https://sfplanninggis.org/pim?search=0195/004
"MULTIPOLYGON (((-122.42024601174393 37.75525863477833, -122.41995402615731 37.7552762075311, -122.41988051017734 37.7545083142075, -122.42031045806112 37.754482438014236, -122.42032031642935 37.75458540319397, -122.4207514532169 37.75455945505496, -122.42080069829348 37.755073767440535, -122.42049027660488 37.75509244995675, -122.42036955700934 37.75509971647887, -122.42023159201426 37.755108019919305, -122.42024601174393 37.75525863477833)))",,Samuel Gompers Trade School,1125 VALENCIA ST,0,0,,,
"MULTIPOLYGON (((-122.45299796448438 37.78787176906701, -122.45306834632703 37.78822192460228, -122.45296584070087 37.788234978261755, -122.45289546065692 37.7878848254245, -122.45299796448438 37.78787176906701)))",,Wolski House,3655 CLAY ST,0,0,,,
"MULTIPOLYGON (((-122.41237015036205 37.79278349106539, -122.41257535316993 37.7927582605854, -122.41258804620128 37.79282061867673, -122.41231444275724 37.79285425871723, -122.41230174882656 37.79279190062584, -122.41237015036205 37.79278349106539)))",0222018,Glazer-Keating House,1110 Taylor Street,251,2005,https://sfplanninggis.org/docs/landmarks_and_districts/LM251.pdf,,https://sfplanninggis.org/pim?search=0222/018
"MULTIPOLYGON (((-122.4231268118528 37.77034526662089, -122.42313992936414 37.77048218840241, -122.42257008294285 37.770516383324605, -122.42255696543151 37.77037946154309, -122.42286807060486 37.770360793416046, -122.4231268118528 37.77034526662089)))",,Orders of Foresters / Baha'I Temple,170 VALENCIA ST,0,0,,,
"MULTIPOLYGON (((-122.40611313161565 37.79292582406765, -122.40658352111251 37.79286861999094, -122.4066216892395 37.793053893822275, -122.40638050635522 37.79308322161353, -122.40626889509332 37.79309679598049, -122.40615129794395 37.79311109699967, -122.40611313161565 37.79292582406765)))",,Far East Cafe,631-645 GRANT AV,0,0,,,
"MULTIPOLYGON (((-122.40085438372273 37.78992534128162, -122.400914703051 37.78987769430029, -122.40096051001944 37.79010014070906, -122.40089217233577 37.790108850643094, -122.40085438372273 37.78992534128162)))",,550 Market Street,550 MARKET ST,0,0,,,
"MULTIPOLYGON (((-122.39300293893439 37.781268894444054, -122.3932356960704 37.781085028951054, -122.39345527544054 37.78126030232124, -122.39334368486305 37.78134845296887, -122.39328482513446 37.78139495061663, -122.39322213249534 37.78144447358375, -122.39319777705566 37.78142496548992, -122.39300293893439 37.781268894444054)), ((-122.3942532223083 37.78164210949592, -122.39431208203689 37.78159561184816, -122.39455284853506 37.78178779157349, -122.39449407244342 37.781834356670345, -122.3942532223083 37.78164210949592)))",,Gran Oriente Filipino Complex,,0,0,,,
"MULTIPOLYGON (((-122.41157389062244 37.78511685695753, -122.41160811072564 37.78528634049235, -122.41139066814475 37.785313973960854, -122.41139537609564 37.785337488534424, -122.41131706043387 37.78534744133151, -122.4113123533823 37.78532392585862, -122.41127841746493 37.7851544063509, -122.41157389062244 37.78511685695753)))",,Glide Memorial Church,302-320 ELLIS ST,0,0,,,
"MULTIPOLYGON (((-122.41446507070634 37.7970124567596, -122.41446594664603 37.79701679508918, -122.41444543670747 37.79701937434481, -122.41446186282462 37.797100727017096, -122.41448237276319 37.79709814776146, -122.41448779477582 37.797124994323156, -122.41449804974513 37.797123703796046, -122.41452003726982 37.797232598205994, -122.41419781018072 37.79727324486453, -122.4141528449777 37.79705171126761, -122.41446507070634 37.7970124567596)))",0150045,Atkinson-Escher House,1032 Broadway Street,97,1977,https://sfplanninggis.org/docs/landmarks_and_districts/LM97.pdf,,https://sfplanninggis.org/pim?search=0150/045
"MULTIPOLYGON (((-122.4444937153126 37.746604402071625, -122.44440594597751 37.74660723223815, -122.44440516176871 37.746591890703314, -122.44449293020449 37.74658906143617, -122.4444937153126 37.746604402071625)))",,Diamond Heights Safety Wall,,0,0,,,
